Site_Id,Read_Date,Salinity (ppt),Dissolved Oxygen (mg/L),pH (standard units),Secchi Depth (m),Water Depth (m),Water Temp (?C),Air Temp (?F),AirTemp (C),Year
Bay,1/3/1994,1.3,11.7,7.3,0.4,0.4,5.9,46.4,8.0,1994
Bay,1/31/1994,1.5,12.0,7.4,0.2,0.35,3.0,36.68,2.6,1994
Bay,2/7/1994,1.0,10.5,7.2,0.25,0.6,5.9,45.68,7.6,1994
Bay,2/23/1994,1.0,10.1,7.4,0.35,0.5,10.0,36.86,2.7,1994
Bay,2/28/1994,1.0,12.6,7.2,0.2,0.4,1.6,32.0,0.0,1994
Bay,3/7/1994,1.0,9.9,7.1,0.2,0.9,9.7,59.36,15.2,1994
Bay,3/14/1994,0.5,10.4,7.2,0.25,0.75,9.8,50.18,10.1,1994
Bay,3/28/1994,1.0,9.2,7.1,0.15,0.95,16.1,71.78,22.1,1994
Bay,4/4/1994,1.0,9.2,7.2,0.25,0.75,15.0,56.3,13.5,1994
Bay,4/11/1994,1.0,8.6,7.3,0.2,0.75,15.7,55.4,13.0,1994
Bay,4/18/1994,1.0,8.8,7.6,0.2,0.7,17.5,61.88,16.6,1994
Bay,4/25/1994,1.0,10.0,7.9,0.2,0.5,19.3,71.78,22.1,1994
Bay,5/2/1994,1.3,9.8,7.5,0.2,0.65,16.1,55.4,13.0,1994
Bay,5/9/1994,1.0,10.1,7.9,0.25,0.75,18.8,67.1,19.5,1994
Bay,5/16/1994,1.0,8.2,7.8,0.25,0.8,22.1,72.14,22.3,1994
Bay,5/23/1994,1.0,10.8,9.1,0.05,0.05,21.7,75.74,24.3,1994
Bay,5/30/1994,1.0,8.7,8.5,0.35,0.8,22.3,72.86,22.7,1994
Bay,6/6/1994,1.0,9.4,8.6,0.35,0.8,23.8,78.26,25.7,1994
Bay,6/13/1994,1.2,10.4,9.0,0.35,0.8,27.9,80.42,26.9,1994
Bay,6/20/1994,1.5,9.8,9.0,0.35,0.7,29.5,86.9,30.5,1994
Bay,6/27/1994,1.5,7.3,8.1,0.25,1.2,25.5,82.22,27.9,1994
Bay,7/3/1994,2.0,10.7,9.0,0.4,0.9,28.5,82.4,28.0,1994
Bay,6/25/1994,2.0,11.0,9.4,0.5,0.9,30.5,83.3,28.5,1994
Bay,8/1/1994,2.0,10.7,9.2,0.45,0.75,29.0,77.9,25.5,1994
Bay,8/8/1994,2.0,10.2,9.2,0.4,0.55,22.0,70.7,21.5,1994
Bay,8/15/1994,2.3,6.9,8.8,0.45,0.9,24.5,68.0,20.0,1994
Bay,8/22/1994,2.0,9.1,9.1,0.45,0.9,27.0,76.1,24.5,1994
Bay,8/29/1994,2.3,9.8,9.3,0.45,0.75,27.0,80.6,27.0,1994
Bay,9/5/1994,2.5,8.6,8.5,0.2,1.2,17.0,62.6,17.0,1994
Bay,9/12/1994,2.5,7.9,8.4,0.35,0.6,21.0,66.2,19.0,1994
Bay,9/19/1994,2.5,8.2,8.1,0.45,0.6,20.5,70.7,21.5,1994
Bay,9/26/1994,2.25,6.9,8.1,0.45,0.8,23.0,73.4,23.0,1994
Bay,10/10/1994,2.5,8.4,8.1,0.45,0.5,17.0,62.6,17.0,1994
Bay,10/24/1994,2.5,7.4,7.6,0.35,0.85,18.0,66.2,19.0,1994
Bay,11/7/1994,2.5,9.0,7.3,0.2,0.5,15.0,59.0,15.0,1994
Bay,11/28/1994,2.8,9.4,7.7,0.25,0.65,13.0,63.5,17.5,1994
Bay,12/12/1994,2.5,11.4,6.9,0.35,0.4,5.0,41.0,5.0,1994
Bay,12/29/1994,3.0,10.4,6.9,0.15,0.4,8.0,49.1,9.5,1994
Bay,5/18/1989,,12.0,7.5,0.2,0.6,17.5,68.9,20.5,1989
Bay,6/1/1989,,12.0,8.0,0.4,0.9,25.5,84.2,29.0,1989
Bay,7/20/1989,,1.6,9.0,0.3,0.9,30.0,90.5,32.5,1989
Bay,7/27/1989,,6.2,9.0,0.3,0.8,27.0,80.6,27.0,1989
Bay,8/3/1989,,5.8,9.5,0.2,0.7,25.0,82.4,28.0,1989
Bay,8/10/1989,,3.2,9.0,0.2,0.3,21.5,72.5,22.5,1989
Bay,8/17/1989,,7.3,9.0,0.2,0.8,28.0,84.2,29.0,1989
Bay,8/31/1989,,7.1,9.0,0.2,0.8,28.0,82.4,28.0,1989
Bay,9/14/1989,,6.0,7.5,0.3,0.9,26.0,78.8,26.0,1989
Bay,10/25/1989,,7.8,8.5,0.2,0.5,15.0,66.2,19.0,1989
Bay,11/27/1989,,10.3,7.5,0.2,0.6,9.0,39.2,4.0,1989
Bay,12/11/1989,,10.2,7.0,0.2,0.4,3.0,37.4,3.0,1989
Bay,1/3/1990,,11.9,7.5,0.2,0.6,3.0,41.0,5.0,1990
Bay,1/8/1990,,10.8,7.5,0.2,0.4,7.0,45.5,7.5,1990
Bay,1/22/1990,1.0,9.7,7.5,0.15,0.65,10.0,53.6,12.0,1990
Bay,1/30/1990,,10.8,7.5,0.2,0.7,9.0,55.4,13.0,1990
Bay,2/7/1990,3.4,10.8,7.5,0.2,0.6,10.0,50.0,10.0,1990
Bay,2/12/1990,3.2,10.6,7.0,0.2,0.7,10.0,48.2,9.0,1990
Bay,2/20/1990,4.2,11.6,7.5,0.15,0.39,5.0,41.0,5.0,1990
Bay,2/27/1990,2.8,13.8,7.0,0.5,1.5,2.5,33.8,1.0,1990
Bay,3/5/1990,2.9,11.6,7.0,0.2,0.4,7.0,47.3,8.5,1990
Bay,3/12/1990,2.9,9.0,7.0,0.15,0.69,17.0,69.8,21.0,1990
Bay,3/19/1990,2.8,7.8,7.0,0.22,0.92,15.0,57.2,14.0,1990
Bay,3/26/1990,3.0,10.8,7.0,0.25,0.4,9.5,48.2,9.0,1990
Bay,4/2/1990,1.8,9.6,8.0,0.15,0.7,5.0,59.0,15.0,1990
Bay,4/9/1990,4.1,10.8,7.0,0.25,0.78,11.0,53.6,12.0,1990
Bay,4/16/1990,2.5,9.7,7.0,0.25,0.72,15.0,57.2,14.0,1990
Bay,4/23/1990,2.8,10.7,7.0,0.25,0.59,15.0,59.0,15.0,1990
Bay,4/30/1990,3.2,10.0,7.0,0.88,1.3,18.0,60.8,16.0,1990
Bay,5/7/1990,4.5,8.9,7.0,0.25,0.75,17.0,64.4,18.0,1990
Bay,5/14/1990,3.7,8.4,7.0,0.32,1.0,20.0,66.2,19.0,1990
Bay,5/29/1990,2.1,8.9,7.0,0.375,0.95,19.0,68.0,20.0,1990
Bay,6/4/1990,3.5,6.9,7.0,0.4,1.22,24.0,77.0,25.0,1990
Bay,6/11/1990,3.2,7.9,7.0,0.35,0.75,24.0,71.6,22.0,1990
Bay,6/16/1990,3.2,7.7,7.0,0.32,0.62,23.5,68.0,20.0,1990
Bay,6/24/1990,3.8,7.9,7.0,0.35,0.91,26.0,78.8,26.0,1990
Bay,7/2/1990,3.7,7.8,7.0,0.35,0.78,24.0,74.3,23.5,1990
Bay,7/9/1990,4.2,7.5,7.5,0.3,0.82,26.0,79.7,26.5,1990
Bay,7/16/1990,3.9,7.5,7.0,0.375,1.25,26.5,,-17.77777778,1990
Bay,7/26/1990,4.2,6.9,7.75,0.375,0.48,27.0,78.8,26.0,1990
Bay,8/6/1990,4.2,7.7,8.0,0.4,0.98,26.0,78.8,26.0,1990
Bay,8/13/1990,4.2,7.8,8.0,0.35,0.82,27.0,80.6,27.0,1990
Bay,8/27/1990,4.2,8.9,8.0,0.35,0.94,27.0,83.3,28.5,1990
Bay,9/4/1990,2.9,8.1,8.0,0.25,0.68,23.0,75.2,24.0,1990
Bay,9/17/1990,2.4,8.8,8.0,0.25,0.78,21.0,64.4,18.0,1990
Bay,10/15/1990,3.5,8.2,8.0,0.3,0.93,23.0,71.6,22.0,1990
Bay,10/29/1990,0.7,12.5,8.0,0.1,0.38,9.0,50.0,10.0,1990
Bay,12/17/1990,0.5,11.05,7.5,0.25,0.6,8.0,46.4,8.0,1990
Bay,1/7/1991,0.7,11.8,8.0,0.2,0.39,9.0,46.4,8.0,1991
Bay,1/14/1991,0.4,12.2,8.0,0.2,0.65,4.5,39.2,4.0,1991
Bay,1/24/1991,0.5,13.2,7.5,0.2,0.65,4.5,40.1,4.5,1991
Bay,1/3/1991,0.5,11.9,7.5,0.25,0.78,9.0,51.8,11.0,1991
Bay,2/11/1991,0.7,11.1,7.5,0.3,0.41,7.5,46.4,8.0,1991
Bay,2/21/1991,1.2,10.8,7.5,0.2,0.72,12.0,50.9,10.5,1991
Bay,2/25/1991,0.7,11.8,7.5,0.2,0.28,8.0,46.4,8.0,1991
Bay,3/4/1991,1.2,10.0,7.5,0.2,1.6,15.0,60.8,16.0,1991
Bay,3/11/1991,0.4,12.9,7.5,0.15,0.35,6.0,39.2,4.0,1991
Bay,3/18/1991,,9.95,7.7,0.25,0.69,11.0,57.2,14.0,1991
Bay,3/25/1991,0.0,9.8,8.0,0.275,0.94,14.0,55.4,13.0,1991
Bay,4/4/1991,1.2,10.7,8.0,0.32,0.78,13.0,57.2,14.0,1991
Bay,4/8/1991,2.1,8.7,8.0,0.32,0.83,19.0,69.8,21.0,1991
Bay,4/15/1991,1.2,8.9,7.5,0.32,0.52,14.0,59.9,15.5,1991
Bay,4/22/1991,0.9,9.75,7.5,0.2,0.55,12.5,55.4,13.0,1991
Bay,4/29/1991,2.4,8.3,7.5,0.35,0.8,20.5,64.4,18.0,1991
Bay,5/6/1991,2.6,8.0,7.5,0.35,0.95,21.0,74.3,23.5,1991
Bay,5/20/1991,1.3,9.5,7.5,0.3,0.5,15.5,59.0,15.0,1991
Bay,6/10/1991,3.0,6.9,7.5,0.3,0.7,23.0,78.8,26.0,1991
Bay,6/17/1991,3.8,6.8,7.5,0.325,1.09,26.0,80.6,27.0,1991
Bay,6/26/1991,2.8,8.1,7.5,0.25,0.7,21.0,70.7,21.5,1991
Bay,7/9/1991,1.8,7.8,7.5,0.35,0.95,28.0,85.1,29.5,1991
Bay,7/15/1991,0.0,8.0,7.5,0.99,0.375,27.5,82.4,28.0,1991
Bay,7/25/1991,,7.8,7.0,0.4,0.925,29.0,84.2,29.0,1991
Bay,8/2/1991,0.7,8.0,7.5,0.35,1.025,24.5,79.7,26.5,1991
Bay,8/9/1991,,8.4,8.0,0.35,1.025,27.0,84.2,29.0,1991
Bay,8/16/1991,,8.8,8.0,0.38,1.01,25.0,78.8,26.0,1991
Bay,8/23/1991,,7.8,8.0,0.375,0.88,26.0,82.4,28.0,1991
Bay,8/30/1991,,7.8,8.0,,,26.0,81.5,27.5,1991
Bay,9/6/1991,,7.7,8.0,0.375,0.9,25.0,76.1,24.5,1991
Bay,9/13/1991,,8.2,8.0,0.2,0.37,22.5,77.0,25.0,1991
Bay,9/23/1991,1.8,8.5,8.0,0.31,0.52,20.0,69.8,21.0,1991
Bay,10/4/1991,3.5,7.7,7.5,0.28,0.7,21.0,71.6,22.0,1991
Bay,10/17/1991,9.0,9.7,7.5,0.2,0.65,13.0,51.8,11.0,1991
Bay,10/31/1991,2.5,9.2,7.5,,1.5,13.0,59.0,15.0,1991
Bay,11/7/1991,4.7,10.2,7.7,0.25,0.75,13.0,56.3,13.5,1991
Bay,11/14/1991,6.2,11.3,7.0,0.15,0.8,12.0,56.3,13.5,1991
Bay,11/21/1991,2.6,9.1,7.0,0.15,0.85,17.0,67.1,19.5,1991
Bay,11/29/1991,3.3,10.8,7.5,0.25,0.6,12.0,59.0,15.0,1991
Bay,12/9/1991,2.0,10.4,7.5,0.15,0.25,10.0,59.0,15.0,1991
Bay,12/20/1991,1.4,15.1,8.0,0.2,0.3,2.0,35.6,2.0,1991
Bay,12/27/1991,2.9,11.6,7.5,0.35,0.49,7.0,44.6,7.0,1991
Bay,1/3/1992,2.0,11.8,7.5,0.28,0.45,10.0,53.6,12.0,1992
Bay,1/9/1992,2.2,11.3,7.5,0.3,0.99,7.5,49.1,9.5,1992
Bay,1/20/1992,1.4,12.6,7.0,0.2,0.58,2.0,32.9,0.5,1992
Bay,1/30/1992,1.6,11.6,7.0,0.25,0.48,6.0,43.7,6.5,1992
Bay,2/10/1992,2.4,14.2,7.0,0.25,0.3,3.0,39.2,4.0,1992
Bay,2/17/1992,2.0,11.1,7.0,0.15,0.68,10.0,44.6,7.0,1992
Bay,2/23/1992,2.4,10.0,7.5,0.15,0.68,12.5,54.5,12.5,1992
Bay,3/2/1992,2.9,11.3,8.0,0.2,0.8,13.0,59.9,15.5,1992
Bay,3/9/1992,3.5,10.0,7.5,0.25,0.75,16.0,64.4,18.0,1992
Bay,3/23/1992,2.9,11.6,7.5,0.05,0.35,3.0,44.6,7.0,1992
Bay,4/6/1992,3.0,11.0,7.5,0.25,0.42,9.0,50.0,10.0,1992
Bay,4/13/1992,3.8,10.6,7.5,0.1,0.5,13.0,45.5,7.5,1992
Bay,4/20/1992,4.7,9.4,7.0,0.2,0.78,17.0,55.4,13.0,1992
Bay,4/27/1992,3.7,9.6,7.0,0.35,0.65,14.0,55.49,13.05,1992
Bay,5/5/1992,3.8,8.9,7.5,0.2,0.6,15.5,50.0,10.0,1992
Bay,5/11/1992,4.2,9.2,7.5,0.3,0.7,17.5,62.6,17.0,1992
Bay,6/1/1992,5.0,9.4,7.0,0.4,0.9,20.0,68.9,20.5,1992
Bay,6/8/1992,4.3,7.9,7.0,0.4,1.05,27.5,84.2,29.0,1992
Bay,6/15/1992,5.1,7.8,8.0,0.4,0.8,25.0,84.2,29.0,1992
Bay,6/22/1992,4.7,9.0,7.5,0.45,0.68,19.0,64.4,18.0,1992
Bay,6/29/1992,4.5,0.8,7.5,0.4,0.8,26.0,78.8,26.0,1992
Bay,7/6/1992,4.3,7.5,7.5,0.45,1.0,25.0,75.2,24.0,1992
Bay,7/13/1992,5.1,7.3,7.5,0.35,0.95,28.5,87.8,31.0,1992
Bay,7/27/1992,5.1,7.6,8.0,0.35,0.95,28.0,86.9,30.5,1992
Bay,8/3/1992,4.5,8.0,8.0,0.3,0.85,26.0,78.8,26.0,1992
Bay,8/7/1992,4.7,8.0,8.0,0.33,0.6,23.0,77.0,25.0,1992
Bay,8/14/1992,4.7,7.1,7.5,0.4,0.95,24.5,71.6,22.0,1992
Bay,8/23/1992,3.9,8.5,8.0,0.4,0.8,24.5,78.8,26.0,1992
Bay,8/31/1992,4.3,7.7,7.5,0.3,1.0,23.0,77.0,25.0,1992
Bay,9/14/1992,4.8,9.2,8.0,0.38,0.38,19.5,71.6,22.0,1992
Bay,9/20/1992,4.3,7.6,7.5,0.35,0.8,23.5,75.2,24.0,1992
Bay,9/27/1992,5.4,9.8,8.0,0.25,0.45,24.0,79.7,26.5,1992
Bay,10/5/1992,3.9,9.2,7.5,0.1,0.15,16.0,62.6,17.0,1992
Bay,10/19/1992,4.1,9.8,7.5,0.1,1.0,12.0,50.0,10.0,1992
Bay,10/26/1992,4.2,10.6,7.0,0.3,0.63,12.5,55.4,13.0,1992
Bay,11/2/1992,3.4,10.6,7.5,0.35,0.65,16.5,63.5,17.5,1992
Bay,11/9/1992,1.7,11.3,7.5,,0.4,9.0,50.0,10.0,1992
Bay,11/16/1992,3.9,11.0,7.5,0.4,0.55,7.5,41.9,5.5,1992
Bay,11/23/1992,3.9,9.0,7.85,0.25,0.85,18.5,70.7,21.5,1992
Bay,11/30/1992,3.7,10.9,7.5,0.55,0.7,9.0,46.4,8.0,1992
Bay,12/17/1992,4.1,10.8,7.0,0.15,0.5,12.0,59.9,15.5,1992
Bay,12/20/1992,3.8,10.1,7.0,0.25,0.85,10.5,50.9,10.5,1992
Bay,12/27/1992,4.7,13.2,7.0,0.25,0.45,5.5,41.9,5.5,1992
Bay,1/4/1993,3.7,11.0,7.0,0.35,0.5,8.0,60.8,16.0,1993
Bay,1/11/1993,3.5,11.9,7.0,0.25,0.25,9.0,44.6,7.0,1993
Bay,1/24/1993,3.3,10.5,7.0,0.3,0.95,10.5,58.1,14.5,1993
Bay,2/1/1993,2.9,12.0,7.0,0.2,0.85,6.0,49.1,9.5,1993
Bay,2/8/1993,3.4,12.6,7.0,0.1,0.3,5.0,41.9,5.5,1993
Bay,2/16/1993,3.5,12.4,7.0,0.3,0.75,8.0,53.6,12.0,1993
Bay,2/22/1993,2.9,12.7,7.0,0.1,0.85,8.0,59.0,15.0,1993
Bay,3/8/1993,3.9,10.7,7.0,0.1,1.15,10.0,56.3,13.5,1993
Bay,3/15/1993,3.4,12.8,7.0,0.5,1.7,2.5,34.7,1.5,1993
Bay,3/22/1993,3.3,11.2,7.0,0.15,0.4,10.0,51.8,11.0,1993
Bay,3/29/1993,3.0,10.0,7.0,0.5,0.7,14.5,54.5,12.5,1993
Bay,4/1/1993,2.9,9.5,,0.55,3.1,17.5,68.9,20.5,1993
Bay,4/5/1993,2.5,10.0,7.0,0.35,0.8,10.0,44.6,7.0,1993
Bay,4/12/1993,2.5,9.7,7.0,0.3,1.0,15.5,60.8,16.0,1993
Bay,4/19/1993,3.0,10.0,7.0,0.3,1.15,14.5,53.6,12.0,1993
Bay,4/26/1993,3.4,8.7,7.0,0.3,1.2,19.0,69.8,21.0,1993
Bay,5/10/1993,3.2,8.0,7.0,0.4,0.85,21.0,69.8,21.0,1993
Bay,5/17/1993,3.9,8.0,7.0,0.5,1.0,24.0,77.0,25.0,1993
Bay,5/24/1993,2.9,9.0,7.0,0.3,0.85,20.0,71.6,22.0,1993
Bay,6/14/1993,3.9,8.1,7.0,0.45,0.45,21.5,68.9,20.5,1993
Bay,6/21/1993,3.8,7.2,7.0,0.55,1.0,26.5,80.6,27.0,1993
Bay,6/28/1993,3.9,7.1,7.0,0.55,0.8,26.5,86.0,30.0,1993
Bay,7/5/1993,,7.4,7.5,0.55,0.8,30.0,88.7,31.5,1993
Bay,7/19/1993,4.2,7.3,7.5,0.45,0.75,27.0,81.5,27.5,1993
Bay,7/26/1993,,7.5,7.5,0.5,0.7,28.0,85.1,29.5,1993
Bay,8/2/1993,3.9,8.0,8.0,0.4,0.8,26.5,86.0,30.0,1993
Bay,8/9/1993,3.5,9.1,8.0,0.3,0.55,25.5,79.7,26.5,1993
Bay,9/6/1993,,7.2,,0.35,0.85,25.5,81.5,27.5,1993
Bay,9/13/1993,,7.8,7.0,0.2,0.75,24.0,82.4,28.0,1993
Bay,9/20/1993,,8.5,8.0,0.2,0.6,21.5,74.3,23.5,1993
Bay,9/27/1993,1.8,7.2,7.9,0.4,0.95,24.5,76.1,24.5,1993
Bay,10/4/1993,,9.3,8.3,0.35,0.65,19.0,68.0,20.0,1993
Bay,10/12/1993,1.5,8.8,7.8,0.3,0.5,16.5,59.0,15.0,1993
Bay,10/18/1993,1.5,8.8,7.7,0.35,0.75,18.0,64.94,18.3,1993
Bay,10/25/1993,1.8,10.6,8.4,0.4,0.6,15.6,66.02,18.9,1993
Bay,11/8/1993,1.5,8.2,7.5,0.35,0.55,9.8,52.34,11.3,1993
Bay,11/15/1993,1.4,9.6,7.9,0.4,0.8,17.3,72.5,22.5,1993
Bay,11/29/1993,1.5,9.4,7.1,0.2,0.55,12.1,50.9,10.5,1993
Bay,12/6/1993,1.5,9.8,7.4,0.25,0.75,10.5,48.74,9.3,1993
Bay,12/13/1993,1.5,13.0,7.6,0.25,0.45,1.3,41.9,5.5,1993
Bay,12/28/1993,1.5,12.1,7.1,0.3,0.7,3.8,39.74,4.3,1993
Bay,1/16/1995,3.0,8.5,7.4,0.25,0.85,13.5,61.7,16.5,1995
Bay,1/23/1995,3.0,10.75,7.1,0.2,0.7,4.5,46.4,8.0,1995
Bay,2/13/1995,3.0,12.5,6.8,0.2,0.25,2.0,29.3,-1.5,1995
Bay,3/6/1995,2.4,9.3,7.1,0.2,0.2,9.5,46.4,8.0,1995
Bay,3/13/1995,2.4,9.9,6.9,0.28,0.65,11.5,59.9,15.5,1995
Bay,3/20/1995,2.8,8.9,7.1,0.35,0.45,12.5,54.5,12.5,1995
Bay,3/27/1995,2.4,9.0,7.1,0.25,0.45,11.0,53.6,12.0,1995
Bay,4/3/1995,2.4,9.3,7.1,0.4,0.55,11.5,54.5,12.5,1995
Bay,4/10/1995,3.2,8.5,7.1,0.25,0.7,15.0,48.2,9.0,1995
Bay,4/18/1995,3.0,9.0,7.1,0.25,0.5,16.0,58.1,14.5,1995
Bay,4/24/1995,3.0,9.7,7.4,0.25,0.55,12.5,50.0,10.0,1995
Bay,5/1/1995,3.2,8.9,7.2,0.3,0.6,15.0,52.7,11.5,1995
Bay,5/15/1995,3.3,6.8,6.8,0.3,0.55,21.5,74.3,23.5,1995
Bay,5/22/1995,3.3,6.8,6.8,0.3,0.55,21.5,74.3,23.5,1995
Bay,5/29/1995,3.5,8.5,7.5,0.4,0.4,22.0,80.6,27.0,1995
Bay,6/5/1995,4.0,7.8,7.6,0.3,0.3,25.0,73.4,23.0,1995
Bay,6/12/1995,3.5,7.7,7.9,0.4,0.9,26.5,77.9,25.5,1995
Bay,6/19/1995,3.2,7.7,8.0,0.4,0.55,25.0,75.2,24.0,1995
Bay,6/26/1995,4.0,8.8,8.3,0.5,0.8,28.5,82.4,28.0,1995
Bay,7/3/1995,4.0,8.0,,0.45,0.8,26.0,80.6,27.0,1995
Bay,7/10/1995,4.0,7.0,7.9,0.35,0.7,26.0,79.7,26.5,1995
Bay,7/17/1995,4.0,7.0,8.0,0.45,1.0,30.0,84.2,29.0,1995
Bay,7/24/1995,4.5,7.2,8.4,0.55,0.9,32.0,92.3,33.5,1995
Bay,7/31/1995,4.5,7.6,8.1,0.5,0.8,29.5,84.2,29.0,1995
Bay,8/7/1995,4.5,8.7,8.2,0.5,0.6,24.0,71.6,22.0,1995
Bay,8/22/1995,5.5,7.4,8.8,0.3,0.5,25.0,81.5,27.5,1995
Bay,8/29/1995,4.5,9.9,8.7,0.35,0.65,25.5,78.8,26.0,1995
Bay,9/5/1995,4.8,10.5,9.0,0.3,0.75,26.0,80.6,27.0,1995
Bay,9/12/1995,4.5,10.4,9.2,0.3,0.7,24.5,80.6,27.0,1995
Bay,9/28/1995,4.8,9.5,8.7,0.3,0.7,21.0,75.2,24.0,1995
Bay,10/5/1995,4.4,9.9,7.2,0.3,0.45,15.5,62.96,17.2,1995
Bay,10/6/1995,5.0,8.9,8.5,0.45,1.15,24.5,81.5,27.5,1995
Bay,10/11/1995,2.4,8.69,7.2,0.3,0.75,17.5,58.64,14.8,1995
Bay,10/20/1995,2.2,9.71,7.6,0.35,0.73,15.0,56.48,13.6,1995
Bay,10/23/1995,4.5,11.6,9.0,0.4,0.8,18.5,68.9,20.5,1995
Bay,10/26/1995,2.8,8.15,6.7,0.38,0.75,19.0,67.28,19.6,1995
Bay,10/30/1995,4.5,9.9,8.5,0.45,0.75,14.0,59.9,15.5,1995
Bay,11/6/1995,4.0,11.8,8.5,0.55,0.55,9.5,51.8,11.0,1995
Bay,11/13/1995,4.5,11.3,8.1,0.55,0.7,9.5,57.2,14.0,1995
Bay,11/20/1995,4.0,11.8,8.4,0.55,0.55,8.0,50.9,10.5,1995
Bay,11/27/1995,4.0,9.5,8.1,0.75,0.75,10.0,48.2,9.0,1995
